count,hate_speech_count,offensive_language_count,neither_count,class,tweet,cleaned_tweet
3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt mayasolovely woman shouldn't complain cleaning house amp man always take trash
3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt mleew17 boy dats cold...tyga dwn bad cuffin dat hoe 1st place
3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit
3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt c_g_anderson viva_based look like tranny
6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt shenikaroberts shit hear might true might faker bitch told ya 57361
3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",t_madison_x shit blows me..claim faithful somebody still fucking hoes 128514;&#128514;&#128514
3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",brighterdays sit hate another bitch got much shit going
3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,8220;@selfiequeenbri cause i'm tired big bitches coming us skinny girls!!&#8221
3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,amp might get ya bitch back amp thats
3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",rhythmixx hobbies include fighting mariam bitch
3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curves everyone lol walked conversation like smh
3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoes smoke losers yea go ig
3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitches thing like
3,1,2,0,1,""" bitch get up off me """,bitch get
3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
3,1,2,0,1,""" bitch who do you love """,bitch love
3,0,3,0,1,""" bitches get cut off everyday B """,bitches get cut everyday b
3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
3,0,3,0,1,""" broke bitch cant tell me nothing """,broke bitch cant tell nothing
3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
3,0,3,0,1,""" cant you see these hoes wont change """,cant see hoes wont change
3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick 128514;&#128514;&#128514 kermit videos bout fuck ig
3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing hardwood floors 128514 http://t.co/cou2wq5l4q
3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lips like heaven doors 128524
3,0,3,0,1,""" hoe what its hitting for """,hoe hitting
3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill 128524
3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",i'd say im back old old bitches would get excited 128524
3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut
3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,you're toes ain't done pussy stinks
3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitches wrap angry bird theres app
3,0,3,0,1,""" is that ya bitch """,ya bitch
3,0,3,0,1,""" it aint nothing to cut a bitch off """,aint nothing cut bitch
3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane ass bitches shots
3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lames crying hoes thats tears clown
3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like snoop said 94 dont love hoes
3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma said pussy cats inside doghouse
3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hated hoes favorite 2mw sevenone http://t.co/bmdsvmc3rc
3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick http://t.co/bzrdl3kf7u
3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimps pimps hoes future voice
3,0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy get 200 likes
3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug 128517 happyhumpday http://t.co/r8jsymib5b
3,0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,running round like brand new pussy thats bout get fucked
3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,bitches even worst they'll send guys
3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,hoes like niggas spend money talk bout
3,1,2,0,1,""" we dont trust these niggas all these bitches """,dont trust niggas bitches
3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall niggas b cuffing hoes cause yall aint never bitches
3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;","dodge bullet 128517 8220;@darealkha da bitches cut pregnant bound thank god 128591;""&#8221"
3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitches love music
3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage teanna trump probably cleaner twitter hoes
3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz gay niggas couldn't wait act like bitches tonight
3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",128514;&#128514;&#128514;@the_paradox ima steal cat n replace pitbull 128514;&#128514;&#128514;&#128514 rt 80sbaby4life the_paradox bitch
3,0,3,0,1,"""&amp; he's gone always be a hoe""",amp he's gone always hoe
3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tacs like movie
3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitches russell simmons
3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",2015seniorprobs probably wouldn&#8217;t mind school much didn&#8217;t deal bitch ass teachers retweet
3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",a7xdemery i'm fucking fag said
3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",arizzleindacut females think dating pussy cute http://t.co/vxbjg26gsz stuff make pussy
3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",addicted2guys simplyaddictedtoguys http://t.co/1jl4hi8zmf woof woof hot scally lad
3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",adorebellaaa ya ever asked bitch bitches kanye voice yes
3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",adorezoey u gone bring ur side bitch game know ya gf friends 128553;&#128553;&#128553;&#128553 swear
3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",allaboutmanfeet http://t.co/3gzupfumev woof woof hot soles
3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",allyhaaaaa lemmie eat oreo amp dishes one oreo lol
3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",almightywayne jetsandaswisher gook bitch fuck u http://t.co/pxmga68nc1 maybe you'll get better http://t.co/tprevwfq0s
3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",almightywayne fuck red malone man bitch ass niggah could please use complete sentences
3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao","arizonasfinest6 eggplant emoji doe?""y say looked like scream lmao"
