processed_text,class
rt woman shouldnt complain cleaning house amp man always take trash,2
rt boy dat coldtyga dwn bad cuffin hoe st place,1
rt dawg ever fuck bitch start cry confused shit,1
rt look like tranny,1
rt bitch shit hear might true faker told ya,1
hoe shit blow meclaim faithful somebody still fucking,1
bitch shit sit hate another got much going,1
bitch cause im tired big coming skinny girl,1
amp bitch might ya get back thats,1
bitch hobby include fighting mariam,1
bitch like keeks curve everyone lol walked conversation smh,1
bitch murda gang land,1
hoe smoke loser yea go ig,1
bad bitch like thing,1
bitch get,1
bitch nigga miss,1
bitch plz whatever,1
bitch love,1
bitch get cut everyday,1
amp bad bitch black bottle,1
bitch broke cant tell nothing,1
bitch like cancel nino,1
hoe cant see wont change,1
fuck bitch ig dont even suck dick kermit video bout,1
bitch ya got tip toeing hardwood floor,1
like pussy lip heaven door,1
hoe hitting,1
pussy met ocean dr gave pill,1
fuck bitch need trippy hennessy,1
bitch spend money want business,1
bitch pussy txt old new wetter,1
bitch im get back old id say would excited,1
nigga bout pussy aint murder game shut,1
pussy aint youre toe done stink,1
bitch im done bitter wrap angry bird there app,1
bitch ya,1
bitch cut nothing aint,1
bitch ya jus meet son mane as,1
hoe cry thats lame tear clown,1
hoe like love dont snoop said,1
pussy said momma cat inside doghouse,2
hoe hated favorite,1
bad hoe like girl get nice make naughty yello real body south chick em thick,1
hoe pimp future voice,1
like get pussy post picture,1
pussy powerful drug,1
pussy quick piece call drive,1
like get thats bout pussy new running round brand fucked,1
bitch even worst theyll send guy,1
hoe like nigga bout spend money talk,1
bitch nigga dont trust,1
hoe bitch cause nigga aint yall cuffing never,1
bitch cut dodge bullet da pregnant bound thank god,1
bitch love pill young chamberlain music,1
hoe teanna trump probably cleaner twitter,1
bitch like nigga gay couldnt wait act tonight,1
rt bitch cat ima steal replace pitbull,1
amp always hoe he gone,1
bitch like son took tic tacs movie,1
fuck bitch get money wan na model russell simmons,1
bitch much as probably wouldnt mind school didnt deal teacher retweet,1
fucking im said fag,1
pussy make female think dating cute stuff,1
simplyaddictedtoguys woof hot scally lad,2
ever bitch ya voice asked kanye yes,1
bitch ya game gone bring ur side know gf friend swear,1
woof hot sol,2
amp lol lemmie eat oreo dish one,2
fuck bitch get maybe youll better,1
man fuck bitch as red malone niggah could please use complete sentence,1
like say eggplant emoji doey looked scream lmao,2
bitch thats one hennessey venom gt sexy,1
pussy wetter seh shower curtainltlmao,1
bitch shit see need said every pic posted racist,1
man fuck yall yo skateboarding wood pushing faggot ball life,1
baby monkey bathtime soooo adorable,2
shit lol aint damn skippy,1
ever get nigga think damn kill ant sidewalk way pussyno must gtchance,1
bitch lol ring mvp,1
bad nigga talk ppl ghettohood kid growing funnnnnnn,1
